Strategy,Distance_mean,Distance_std,GMM_mean,GMM_std,MBC_mean,MBC_std,Combined_mean,Combined_std
Real (baseline),0.08572790378544169,0.01042313404881044,0.050695578499862705,0.13799113491419254,0.4249007811909668,0.25165835881502074,0.18710808782542374,0.13335754259267457
No Augmentation,0.08572790378544169,0.01042313404881044,0.050695578499862705,0.13799113491419254,0.4249007811909668,0.25165835881502074,0.18710808782542374,0.13335754259267457
Copy-Paste,0.0830203658506694,0.012530732360523551,0.09130809643535258,0.13240963645301176,0.6737261358105386,0.21854499138411615,0.28268486603218684,0.12116178673255047
CutMix,0.0732643110176747,0.008352227373151241,0.5997552249063569,0.2137836839715226,0.4237340075181286,0.23646446059170373,0.3655845144807201,0.1528667906454592
