exp_id,modality,model,augmentation,best_val_miou,best_val_pixel_acc,best_epoch,total_epochs_run,duration_min,status
1,RGB,DeepLabV3+,None,0.6015,0.9342,95,100,2.3,OK
2,RGB,DeepLabV3+,Copy-Paste,0.5938,0.9159,94,100,2.8,OK
3,RGB,DeepLabV3+,CutMix,0.5763,0.918,99,100,2.8,OK
1,RGB,DeepLabV3+,None,0.5974,0.9395,99,100,2.3,OK
2,RGB,DeepLabV3+,Copy-Paste,0.6169,0.9277,99,100,2.9,OK
3,RGB,DeepLabV3+,CutMix,0.5757,0.9203,97,100,2.8,OK
4,RGB,Hybrid SSRN-ViT,None,0.3543,0.8572,98,100,7.8,OK
5,RGB,Hybrid SSRN-ViT,Copy-Paste,0.3417,0.8078,8,100,8.1,OK
6,RGB,Hybrid SSRN-ViT,CutMix,0.2877,0.7538,96,100,8.2,OK
7,RGB,MambaHSI,None,0.4645,0.8882,79,100,1.8,OK
8,RGB,MambaHSI,Copy-Paste,0.3282,0.7212,81,100,2.5,OK
9,RGB,MambaHSI,CutMix,0.4855,0.8753,41,100,2.5,OK
10,HSI,DeepLabV3+,None,0.2865,0.8525,83,100,19.8,OK
11,HSI,DeepLabV3+,Copy-Paste,0.2722,0.8015,60,100,29.0,OK
12,HSI,DeepLabV3+,CutMix,0.2989,0.8758,54,100,28.8,OK
13,HSI,Hybrid SSRN-ViT,None,0.3871,0.9319,86,100,303.5,OK
14,HSI,Hybrid SSRN-ViT,Copy-Paste,0.4329,0.9329,91,100,303.4,OK
15,HSI,Hybrid SSRN-ViT,CutMix,0.5193,0.9666,98,100,303.3,OK
16,HSI,MambaHSI,None,0.3679,0.9334,35,100,19.0,OK
17,HSI,MambaHSI,Copy-Paste,0.3555,0.9138,40,100,29.2,OK
18,HSI,MambaHSI,CutMix,0.3797,0.9495,32,100,29.1,OK
19,RGB+HSI,DeepLabV3+,None,0.333,0.9226,68,100,32.3,OK
20,RGB+HSI,DeepLabV3+,Copy-Paste,0.3326,0.8989,52,100,52.1,OK
21,RGB+HSI,DeepLabV3+,CutMix,0.3318,0.9024,42,100,51.5,OK
